year,win_loss
1977,-2
1978,2
1979,-18
1980,-22
1981,-4
1982,-20
1983,-14
1984,-2
1985,-36
1986,-72
1987,-106
1988,-112
1989,-90
1990,-82
1991,-86
1992,-66
1993,-28
1994,4
1995,32
1996,44
1997,76
1998,80
1999,84
2000,102
2001,116
2002,94
2003,86
2004,82
2005,66
2006,30
2007,14
2008,-22
2009,-40
2010,-64
2011,-62
2012,-56
2013,-30
2014,-38
2015,-86
2016,-104
2017,-124
2018,-148
2019,-196
2020,-220
2021,-210
2022,-218
2023,-206
