year,win_loss
1977,18
1978,46
1979,58
1980,94
1981,136
1982,170
1983,218
1984,240
1985,274
1986,300
1987,308
1988,298
1989,308
1990,332
1991,338
1992,326
1993,296
1994,264
1995,230
1996,184
1997,146
1998,126
1999,132
2000,148
2001,178
2002,182
2003,196
2004,180
2005,184
2006,178
2007,166
2008,164
2009,164
2010,136
2011,136
2012,140
2013,126
2014,82
2015,36
2016,-26
2017,-52
2018,-30
2019,-10
2020,3
2021,29
2022,49
2023,75
