year,win_loss
1977,10
1978,14
1979,8
1980,-26
1981,-30
1982,-22
1983,-44
1984,-52
1985,-90
1986,-112
1987,-110
1988,-152
1989,-148
1990,-156
1991,-150
1992,-122
1993,-136
1994,-118
1995,-148
1996,-158
1997,-180
1998,-224
1999,-232
2000,-276
2001,-324
2002,-364
2003,-370
2004,-378
2005,-392
2006,-406
2007,-404
2008,-390
2009,-414
2010,-444
2011,-454
2012,-474
2013,-462
2014,-442
2015,-390
2016,-326
2017,-274
2018,-240
2019,-208
2020,-243
2021,-237
2022,-213
2023,-207
