year,win_loss
1977,-22
1978,-16
1979,-22
1980,-6
1981,32
1982,60
1983,80
1984,98
1985,134
1986,166
1987,184
1988,186
1989,202
1990,208
1991,222
1992,202
1993,176
1994,134
1995,120
1996,88
1997,72
1998,62
1999,68
2000,70
2001,92
2002,92
2003,94
2004,94
2005,72
2006,70
2007,44
2008,14
2009,0
2010,10
2011,-2
2012,-6
2013,-12
2014,-64
2015,-64
2016,-80
2017,-78
2018,-72
2019,-34
2020,5
2021,25
2022,45
2023,79
