year,win_loss
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,-38
1991,-62
1992,-114
1993,-158
1994,-200
1995,-240
1996,-270
1997,-272
1998,-264
1999,-264
2000,-246
2001,-234
2002,-216
2003,-196
2004,-162
2005,-156
2006,-172
2007,-190
2008,-228
2009,-262
2010,-314
2011,-362
2012,-376
2013,-396
2014,-398
2015,-448
2016,-472
2017,-492
2018,-480
2019,-490
2020,-516
2021,-542
2022,-532
2023,-530
