year,win_loss
1977,4
1978,8
1979,-14
1980,-22
1981,-48
1982,-100
1983,-136
1984,-162
1985,-172
1986,-196
1987,-216
1988,-214
1989,-182
1990,-180
1991,-196
1992,-164
1993,-138
1994,-126
1995,-122
1996,-110
1997,-108
1998,-96
1999,-102
2000,-120
2001,-142
2002,-166
2003,-214
2004,-226
2005,-224
2006,-206
2007,-188
2008,-180
2009,-130
2010,-90
2011,-134
2012,-158
2013,-192
2014,-208
2015,-184
2016,-152
2017,-132
2018,-114
2019,-158
2020,-185
2021,-213
2022,-207
2023,-187
