year,win_loss
1977,6
1978,4
1979,-16
1980,-38
1981,-30
1982,-44
1983,-70
1984,-98
1985,-104
1986,-126
1987,-128
1988,-110
1989,-98
1990,-70
1991,-30
1992,22
1993,54
1994,82
1995,94
1996,156
1997,212
1998,254
1999,230
2000,182
2001,130
2002,90
2003,68
2004,32
2005,44
2006,44
2007,60
2008,44
2009,44
2010,44
2011,86
2012,120
2013,128
2014,142
2015,160
2016,162
2017,162
2018,134
2019,96
2020,75
2021,65
2022,75
2023,73
