year,win_loss
1977,0
1978,0
1979,0
1980,-34
1981,-60
1982,-92
1983,-114
1984,-106
1985,-106
1986,-104
1987,-98
1988,-86
1989,-66
1990,-38
1991,-12
1992,16
1993,28
1994,52
1995,90
1996,118
1997,164
1998,206
1999,230
2000,258
2001,282
2002,288
2003,300
2004,302
2005,272
2006,272
2007,292
2008,318
2009,332
2010,356
2011,352
2012,358
2013,362
2014,330
2015,324
2016,322
2017,342
2018,356
2019,374
2020,390
2021,422
2022,438
2023,430
