year,win_loss
1977,18
1978,32
1979,44
1980,22
1981,14
1982,24
1983,32
1984,26
1985,48
1986,60
1987,52
1988,78
1989,84
1990,88
1991,46
1992,12
1993,2
1994,4
1995,4
1996,-8
1997,-48
1998,-108
1999,-130
2000,-142
2001,-144
2002,-172
2003,-220
2004,-216
2005,-200
2006,-194
2007,-186
2008,-168
2009,-142
2010,-118
2011,-100
2012,-90
2013,-58
2014,-68
2015,-90
2016,-106
2017,-108
2018,-98
2019,-72
2020,-53
2021,-31
2022,-17
2023,7
