year,win_loss
1977,0
1978,-34
1979,-42
1980,-56
1981,-90
1982,-84
1983,-68
1984,-60
1985,-58
1986,-62
1987,-96
1988,-140
1989,-170
1990,-218
1991,-248
1992,-250
1993,-246
1994,-238
1995,-260
1996,-282
1997,-312
1998,-308
1999,-326
2000,-346
2001,-376
2002,-354
2003,-338
2004,-326
2005,-324
2006,-308
2007,-308
2008,-322
2009,-336
2010,-394
2011,-428
2012,-450
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
