year,win_loss
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,-8
1987,-32
1988,-66
1989,-94
1990,-130
1991,-162
1992,-186
1993,-218
1994,-244
1995,-248
1996,-252
1997,-266
1998,-294
1999,-290
2000,-284
2001,-256
2002,-216
2003,-180
2004,-152
2005,-134
2006,-128
2007,-144
2008,-150
2009,-198
2010,-230
2011,-264
2012,-286
2013,-312
2014,-338
2015,-362
2016,-378
2017,-396
2018,-424
2019,-428
2020,-438
2021,-448
2022,-470
2023,-456
