year,win_loss
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,-40
1997,-62
1998,-112
1999,-116
2000,-108
2001,-96
2002,-94
2003,-128
2004,-144
2005,-160
2006,-188
2007,-176
2008,-176
2009,-192
2010,-194
2011,-232
2012,-252
2013,-266
2014,-252
2015,-236
2016,-206
2017,-186
2018,-150
2019,-116
2020,-82
2021,-100
2022,-86
2023,-86
