year,win_loss
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,-52
1990,-98
1991,-132
1992,-138
1993,-148
1994,-146
1995,-164
1996,-162
1997,-122
1998,-94
1999,-78
2000,-56
2001,-38
2002,-48
2003,-80
2004,-78
2005,-42
2006,-20
2007,-14
2008,-66
2009,-62
2010,-50
2011,-16
2012,10
2013,60
2014,86
2015,78
2016,92
2017,92
2018,98
2019,94
2020,109
2021,117
2022,141
2023,147
