year,win_loss
1977,6
1978,-12
1979,-36
1980,4
1981,46
1982,90
1983,120
1984,162
1985,206
1986,258
1987,294
1988,326
1989,328
1990,350
1991,380
1992,400
1993,414
1994,396
1995,384
1996,368
1997,316
1998,306
1999,294
2000,282
2001,272
2002,288
2003,294
2004,284
2005,292
2006,276
2007,242
2008,292
2009,334
2010,352
2011,382
2012,394
2013,395
2014,363
2015,361
2016,375
2017,399
2018,427
2019,443
2020,467
2021,467
2022,487
2023,519
