year,win_loss
1977,-10
1978,-30
1979,-36
1980,-44
1981,-38
1982,-50
1983,-92
1984,-122
1985,-160
1986,-190
1987,-190
1988,-196
1989,-222
1990,-220
1991,-220
1992,-222
1993,-222
1994,-210
1995,-188
1996,-166
1997,-170
1998,-136
1999,-120
2000,-90
2001,-90
2002,-88
2003,-74
2004,-34
2005,-28
2006,-28
2007,-40
2008,-50
2009,-60
2010,-78
2011,-86
2012,-68
2013,-51
2014,-21
2015,-27
2016,-19
2017,-17
2018,-3
2019,11
2020,28
2021,24
2022,-8
2023,-20
