year,win_loss
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,-20
1986,-38
1987,-96
1988,-144
1989,-184
1990,-206
1991,-226
1992,-218
1993,-218
1994,-246
1995,-294
1996,-318
1997,-328
1998,-376
1999,-408
2000,-460
2001,-480
2002,-484
2003,-512
2004,-538
2005,-546
2006,-534
2007,-536
2008,-572
2009,-616
2010,-640
2011,-658
2012,-644
2013,-614
2014,-582
2015,-552
2016,-528
2017,-508
2018,-506
2019,-492
2020,-466
2021,-444
2022,-442
2023,-436
