year,win_loss
1977,0
1978,0
1979,0
1980,0
1981,-52
1982,-78
1983,-84
1984,-80
1985,-74
1986,-68
1987,-40
1988,-16
1989,-22
1990,-10
1991,-36
1992,-74
1993,-134
1994,-190
1995,-200
1996,-230
1997,-264
1998,-306
1999,-318
2000,-320
2001,-296
2002,-264
2003,-226
2004,-204
2005,-170
2006,-132
2007,-80
2008,-60
2009,-42
2010,-14
2011,18
2012,24
2013,24
2014,40
2015,58
2016,60
2017,44
2018,10
2019,-6
2020,5
2021,17
2022,39
2023,33
