year,win_loss
1977,-20
1978,-20
1979,-10
1980,8
1981,-12
1982,-10
1983,-6
1984,-8
1985,-22
1986,-4
1987,28
1988,46
1989,68
1990,68
1991,72
1992,66
1993,70
1994,102
1995,104
1996,114
1997,144
1998,162
1999,174
2000,148
2001,116
2002,100
2003,88
2004,62
2005,6
2006,-24
2007,-46
2008,-54
2009,-42
2010,-18
2011,-12
2012,2
2013,8
2014,2
2015,40
2016,54
2017,58
2018,24
2019,0
2020,-27
2021,-17
2022,-13
2023,-13
