year,win_loss
1977,16
1978,50
1979,58
1980,52
1981,60
1982,62
1983,72
1984,86
1985,88
1986,86
1987,102
1988,126
1989,122
1990,158
1991,202
1992,234
1993,254
1994,266
1995,272
1996,278
1997,294
1998,304
1999,324
2000,360
2001,378
2002,394
2003,412
2004,412
2005,384
2006,344
2007,326
2008,326
2009,352
2010,370
2011,384
2012,374
2013,358
2014,384
2015,404
2016,410
2017,410
2018,426
2019,450
2020,446
2021,458
2022,430
2023,414
