year,win_loss
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,-46
1991,-66
1992,-106
1993,-106
1994,-88
1995,-56
1996,-18
1997,-10
1998,-10
1999,6
2000,6
2001,10
2002,16
2003,18
2004,-22
2005,-32
2006,-42
2007,-44
2008,-22
2009,14
2010,50
2011,72
2012,80
2013,38
2014,2
2015,-30
2016,-42
2017,-66
2018,-98
2019,-96
2020,-103
2021,-133
2022,-171
2023,-185
