year,win_loss
1977,24
1978,32
1979,44
1980,82
1981,108
1982,140
1983,174
1984,200
1985,242
1986,284
1987,332
1988,374
1989,406
1990,450
1991,484
1992,488
1993,484
1994,468
1995,482
1996,506
1997,536
1998,576
1999,588
2000,640
2001,670
2002,704
2003,722
2004,752
2005,738
2006,746
2007,748
2008,780
2009,828
2010,860
2011,892
2012,908
2013,916
2014,888
2015,848
2016,800
2017,770
2018,758
2019,750
2020,783
2021,795
2022,779
2023,783
