year,win_loss
1977,16
1978,-10
1979,2
1980,2
1981,0
1982,10
1983,-44
1984,-68
1985,-54
1986,-34
1987,-32
1988,-22
1989,-14
1990,-14
1991,8
1992,10
1993,38
1994,72
1995,84
1996,98
1997,130
1998,130
1999,142
2000,128
2001,136
2002,110
2003,114
2004,122
2005,142
2006,128
2007,150
2008,178
2009,202
2010,204
2011,208
2012,210
2013,218
2014,244
2015,274
2016,274
2017,302
2018,350
2019,374
2020,390
2021,352
2022,310
2023,272
